,thread1,thread2,thread3,thread4,thread5,thread6,thread7,thread8,thread9,thread10,thread11,thread12,thread13,thread14,thread15,thread16,thread17,thread18,thread19,thread20,thread21,thread22
56,3421.892,12731.698,16081.657,72923.579,72451.82,72500.313,72567.869,72656.427,75354.981,75915.521,67203.633,67207.053,272803.902,272220.46,272617.52,272648.608,271748.484,271395.004,271034.676,270827.859,270184.447,270171.741
57,3549.667,12741.704,16084.667,73137.935,72654.19,72509.323,72816.234,75565.803,75360.992,76115.866,67444.03,67212.061,272809.911,272221.473,272618.529,272657.618,271760.496,271403.015,271041.684,270834.871,270187.454,270183.751
58,3552.68,13348.809,16085.675,73144.945,72661.197,72730.666,72819.241,75567.812,75625.472,76117.877,67456.041,67455.423,272815.923,272226.482,272623.536,272661.625,271772.505,271405.023,271043.696,270837.879,270191.465,270184.763
59,3710.45,13350.82,16525.283,73145.956,72671.203,72738.673,72823.26,75575.822,75626.481,76121.895,67462.051,67458.428,272823.931,272826.374,272627.546,272670.633,271780.516,271414.033,271044.707,270849.886,270203.476,270185.774
60,3714.461,13671.83,16529.294,73385.304,72894.548,72748.678,75727.687,75834.299,75634.489,244834.588,67700.393,67464.435,272824.943,272828.383,272633.556,273291.647,271789.528,271416.042,271055.718,270853.897,270208.487,270809.763
61,3859.242,13678.838,16535.302,73391.315,72906.556,72995.057,75737.696,75839.31,75861.887,244843.595,67702.4,67685.923,272834.95,272837.392,272642.566,273297.662,271798.539,271419.049,271065.723,270863.907,270215.497,270820.778
62,3870.25,13995.836,72351.227,73402.33,72918.563,73000.068,75746.703,75848.319,75872.897,244847.606,67708.407,67688.933,273421.86,272849.404,272653.575,273306.672,271800.549,271421.057,271074.732,271462.816,270789.393,270827.794
63,4053.054,14001.847,72355.234,73637.7,73155.951,73009.08,76002.131,76087.711,75884.904,245054.002,67915.898,67689.942,273425.87,272856.414,272658.582,273316.685,271807.558,271428.068,271078.744,271467.822,270801.406,270831.811
64,4054.064,14449.176,72363.245,73640.709,73167.959,75915.503,76014.142,76091.72,76115.388,245055.008,67919.907,236379.612,273431.878,272865.424,272664.59,273324.693,271808.569,271440.076,271645.637,271470.832,270802.417,270841.821
65,12432.939,14450.195,73578.154,73647.719,73174.971,75925.522,76024.148,76100.732,76123.399,245064.017,67924.913,236391.638,273436.889,272868.434,273266.541,273331.706,271811.581,271443.082,271652.645,271479.839,270806.426,270852.837
66,12441.945,14845.282,73580.167,76559.159,76073.406,75926.535,76256.538,76334.217,76131.41,245292.374,236624.61,236394.65,273445.898,272878.442,273278.558,273343.721,272382.488,272046.984,271663.656,271486.847,270817.434,270855.851
67,12657.805,14848.293,73591.178,76561.17,76083.419,76187.942,76262.549,76344.227,76317.768,245304.385,236633.626,236606.066,273452.907,272881.447,273282.574,273352.737,272383.506,272053.996,271673.665,271492.86,270822.441,270856.866
68,12663.814,16894.614,73827.734,76571.182,76088.429,76195.953,76265.561,76354.243,76323.784,245312.396,236641.638,236612.071,273453.912,272885.456,273288.583,273359.744,272393.514,272061.003,271683.673,271503.872,270827.452,270865.876
69,12898.757,16905.62,73836.748,76826.582,76339.834,76196.964,76505.053,76526.606,76331.798,245522.898,236853.035,236617.076,273455.923,273480.386,273298.598,273365.759,272402.523,272062.015,271695.682,271505.881,270837.46,270874.887
70,12908.765,16913.634,73841.757,76830.592,76348.841,76438.356,76514.061,76538.616,245053.474,245530.915,236859.045,236846.422,273460.934,273481.396,273308.614,273953.817,272405.53,272070.022,271698.692,271507.898,270848.472,271471.969
71,13163.667,17349.235,74054.11,76836.6,76357.85,76447.363,76520.071,76541.625,245061.485,245537.931,236862.053,236851.43,273464.944,273483.404,273313.631,273965.825,272416.549,272080.033,271708.704,271515.912,270849.478,271475.975
72,13173.674,17351.247,74059.117,77067.992,76590.241,76451.374,76702.435,245269.309,245070.498,245755.452,237085.402,236852.442,274096.012,273484.415,273324.646,273973.836,272425.558,272081.046,271714.711,272135.102,271485.595,271479.987
73,13436.64,17358.258,74063.124,77076.003,76597.252,76682.866,76705.444,245277.323,245259.888,245762.469,237096.414,237081.896,274107.025,273492.426,273335.666,273984.843,272436.565,272092.055,271723.723,272145.111,271493.611,271490.998
74,13440.65,73177.187,74310.482,77082.012,76606.264,76685.875,76714.45,245284.334,245262.894,245768.485,237103.422,237084.912,274111.041,273501.436,273346.676,273986.853,272446.573,272096.067,272355.882,272150.121,271501.628,271499.01
75,13563.009,73180.196,74317.491,77305.501,76825.753,76687.882,245434.144,245476.713,245271.905,246067.552,237322.893,237088.928,274115.053,273513.452,273947.797,273992.864,272449.58,272105.074,272359.896,272158.133,271513.645,271508.021
76,13573.019,73182.204,74323.501,77310.513,76832.761,76882.245,245440.158,245483.728,245513.268,246074.558,237327.904,237312.465,274123.069,273520.465,273952.805,274004.875,273080.62,272714.271,272362.912,272163.141,271525.66,271517.029
77,13859.985,74436.174,74557.873,77312.525,76838.77,76884.252,245445.169,245495.74,245516.282,246078.568,237332.932,237319.48,274134.082,273531.481,273962.813,274015.887,273090.635,272720.278,272369.925,272164.151,271535.67,271522.037
78,13861.992,74446.181,74566.885,77512.88,77036.128,76896.26,245648.545,245717.102,245518.288,280763.535,237558.462,237322.496,274143.097,273536.491,273974.824,274017.897,273091.65,272726.285,272374.94,272167.159,271538.68,271528.047
79,14477.089,74447.19,74573.896,77513.887,77043.139,245615.963,245655.553,245727.134,245735.807,280775.543,237564.478,237619.6,274145.108,274151.649,273978.832,274026.907,273092.666,272730.309,272379.948,272177.167,271544.692,271533.059
80,14483.099,74686.753,77475.334,77522.899,77050.147,245616.976,245663.564,245738.142,245746.816,280781.551,237567.495,237621.612,274154.122,274152.659,273990.84,,273102.675,272738.321,272380.964,272187.174,271555.702,
81,14788.115,74694.76,77486.34,246244.619,245769.86,245625.99,245898.952,245957.647,245754.831,280792.557,237861.578,237626.62,274162.138,274155.669,273996.851,,273104.685,272748.329,272382.98,272190.182,271565.718,
82,14796.125,74703.767,77493.364,246247.632,245770.873,245828.361,245904.963,245969.657,245966.357,280795.564,237865.588,,,274161.68,274000.861,,273109.699,272757.337,272393.993,,,
83,15123.12,74914.116,77743.754,246253.644,245782.887,245838.373,245915.971,245973.673,245969.369,280807.575,237869.598,,,274172.687,274003.874,,273113.706,272762.346,272400.01,,,
84,15129.126,74918.125,77744.763,246465.003,245979.255,245842.384,246133.489,246167.188,245971.377,280814.586,,,,274177.699,274006.885,,273117.72,272770.353,,,,
85,15577.46,74923.132,77751.776,246471.01,245987.266,246087.767,246135.503,246174.197,246274.438,280818.597,,,,274183.71,,,273127.729,272776.365,,,,
86,15580.468,75170.497,77988.163,246483.022,245995.274,246090.786,246138.52,246183.213,246275.447,280826.606,,,,274191.721,,,,,,,,
87,15974.566,75176.509,77991.171,246721.434,246239.676,246096.802,246342.025,,246279.457,280835.617,,,,274201.74,,,,,,,,
88,15977.577,75184.52,77997.18,246725.443,246246.69,246301.322,246343.036,,,,,,,274213.752,,,,,,,,
89,18013.878,75419.893,78218.683,246726.454,246252.7,246313.337,246346.046,,,,,,,,,,,,,,,
90,18019.892,75425.904,78227.69,246943.968,246466.213,246325.344,,,,,,,,,,,,,,,,
91,18026.909,75427.915,78239.701,246948.985,246474.223,246509.846,,,,,,,,,,,,,,,,
92,18460.509,78335.408,78422.054,246954.001,246483.231,246511.857,,,,,,,,,,,,,,,,
93,18465.516,78345.415,78428.065,247143.482,246665.735,246517.864,,,,,,,,,,,,,,,,
94,18473.525,78348.423,78431.073,247149.493,246670.744,,,,,,,,,,,,,,,,,
95,74272.355,78602.811,247153.798,247150.504,246674.755,,,,,,,,,,,,,,,,,
96,74292.45,78604.818,247164.811,,,,,,,,,,,,,,,,,,,
97,74296.458,78609.829,247168.824,,,,,,,,,,,,,,,,,,,
98,74307.476,78842.171,247385.173,,,,,,,,,,,,,,,,,,,
99,75591.501,78851.18,247387.184,,,,,,,,,,,,,,,,,,,
100,75602.512,78862.188,247393.196,,,,,,,,,,,,,,,,,,,
101,75611.523,79089.694,247625.605,,,,,,,,,,,,,,,,,,,
102,75841.078,79090.704,247632.625,,,,,,,,,,,,,,,,,,,
103,75844.088,79093.715,247637.633,,,,,,,,,,,,,,,,,,,
104,75849.102,79271.066,247855.16,,,,,,,,,,,,,,,,,,,
105,76071.441,79272.076,247860.176,,,,,,,,,,,,,,,,,,,
106,76078.453,79278.083,247871.193,,,,,,,,,,,,,,,,,,,
107,76082.463,248010.82,248051.658,,,,,,,,,,,,,,,,,,,
108,76323.829,248014.833,248058.667,,,,,,,,,,,,,,,,,,,
109,76330.862,248019.844,248064.679,,,,,,,,,,,,,,,,,,,
110,76336.867,248238.187,,,,,,,,,,,,,,,,,,,,
111,76576.224,248242.198,,,,,,,,,,,,,,,,,,,,
112,76579.234,248251.209,,,,,,,,,,,,,,,,,,,,
113,76586.245,248480.627,,,,,,,,,,,,,,,,,,,,
114,79496.736,248490.643,,,,,,,,,,,,,,,,,,,,
115,79498.742,248500.655,,,,,,,,,,,,,,,,,,,,
116,79510.752,248713.193,,,,,,,,,,,,,,,,,,,,
117,79748.141,248722.21,,,,,,,,,,,,,,,,,,,,
118,79760.149,248730.224,,,,,,,,,,,,,,,,,,,,
119,79766.16,248911.674,,,,,,,,,,,,,,,,,,,,
120,80003.5,248922.682,,,,,,,,,,,,,,,,,,,,
121,80013.527,248923.693,,,,,,,,,,,,,,,,,,,,
122,80023.543,,,,,,,,,,,,,,,,,,,,,
123,80239.026,,,,,,,,,,,,,,,,,,,,,
124,80242.034,,,,,,,,,,,,,,,,,,,,,
125,80250.042,,,,,,,,,,,,,,,,,,,,,
126,80425.392,,,,,,,,,,,,,,,,,,,,,
127,80427.398,,,,,,,,,,,,,,,,,,,,,
128,80433.406,,,,,,,,,,,,,,,,,,,,,
129,249168.157,,,,,,,,,,,,,,,,,,,,,
130,249170.169,,,,,,,,,,,,,,,,,,,,,
131,249178.181,,,,,,,,,,,,,,,,,,,,,
132,249391.522,,,,,,,,,,,,,,,,,,,,,
133,249403.534,,,,,,,,,,,,,,,,,,,,,
134,249412.545,,,,,,,,,,,,,,,,,,,,,
135,249642.973,,,,,,,,,,,,,,,,,,,,,
136,249648.989,,,,,,,,,,,,,,,,,,,,,
137,249652.004,,,,,,,,,,,,,,,,,,,,,
138,249874.539,,,,,,,,,,,,,,,,,,,,,
139,249881.556,,,,,,,,,,,,,,,,,,,,,
140,249887.572,,,,,,,,,,,,,,,,,,,,,
141,250067.003,,,,,,,,,,,,,,,,,,,,,
142,250079.012,,,,,,,,,,,,,,,,,,,,,
143,250086.024,,,,,,,,,,,,,,,,,,,,,
